"Beverly","01/27/2013","0.650000","1286.36","0.550000","0.00","262.13","G:12374","1979.01","0.00"
"Peabody","01/27/2013","0.150000","296.85","0.200000","0.00","308.72","G:12553","1979.01","0.00"
"Saugus","01/27/2013","0.200000","395.80","0.250000","0.00","0.00","G:12554","1979.01","0.00"
"Beverly","02/27/2013","0.650000","1146.54","0.550000","0.00","0.00","G:12585","1763.90","0.00"
"Peabody","02/27/2013","0.150000","264.58","0.200000","0.00","20.29","G:12755","1763.90","0.00"
"Saugus","02/27/2013","0.200000","352.78","0.250000","0.00","0.00","G:12787","1763.90","0.00"
"Beverly","03/27/2013","0.650000","0.00","0.550000","0.00","0.00","G:12898","0.00","0.00"
"Peabody","03/27/2013","0.150000","0.00","0.200000","0.00","0.00","G:13073","0.00","0.00"
"Saugus","03/27/2013","0.200000","0.00","0.250000","0.00","387.05","G:13105","0.00","0.00"
"Beverly","04/27/2013","0.650000","0.00","0.550000","851.78","0.00","G:13208","0.00","1548.67"
"Peabody","04/27/2013","0.150000","0.00","0.200000","309.73","564.20","G:13406","0.00","1548.67"
"Saugus","04/27/2013","0.200000","0.00","0.250000","387.16","0.00","G:13439","0.00","1548.67"
"Beverly","05/27/2013","0.650000","0.00","0.550000","0.00","5.05","G:13550","0.00","0.00"
"Peabody","05/27/2013","0.150000","0.00","0.200000","0.00","5.05","G:13747","0.00","0.00"
"Saugus","05/27/2013","0.200000","0.00","0.250000","0.00","362.08","G:13780","0.00","0.00"
"Beverly","06/27/2013","0.650000","0.00","0.550000","0.00","14.24","G:13900","0.00","0.00"
"Peabody","06/27/2013","0.150000","0.00","0.200000","0.00","17.77","G:14098","0.00","0.00"
"Saugus","06/27/2013","0.200000","0.00","0.250000","0.00","0.00","G:14131","0.00","0.00"
"Beverly","07/27/2013","0.650000","587.26","0.550000","0.00","10.81","G:14251","903.46","0.00"
"Peabody","07/27/2013","0.150000","135.51","0.200000","0.00","7.28","G:14449","903.46","0.00"
"Saugus","07/27/2013","0.200000","180.69","0.250000","0.00","0.00","G:14482","903.46","0.00"
"Beverly","08/27/2013","0.650000","866.90","0.550000","0.00","0.00","G:14601","1333.68","0.00"
"Peabody","08/27/2013","0.150000","200.05","0.200000","0.00","0.00","G:14799","1333.68","0.00"
"Saugus","08/27/2013","0.200000","266.73","0.250000","0.00","8.08","G:14831","1333.68","0.00"
"Beverly","09/27/2013","0.650000","0.00","0.550000","0.00","0.00","G:14950","0.00","0.00"
"Peabody","09/27/2013","0.150000","0.00","0.200000","0.00","0.00","G:15148","0.00","0.00"
"Saugus","09/27/2013","0.200000","0.00","0.250000","0.00","25.08","G:15181","0.00","0.00"
"Beverly","10/27/2013","0.650000","0.00","0.550000","0.00","0.00","G:15300","0.00","0.00"
"Peabody","10/27/2013","0.150000","0.00","0.200000","0.00","0.00","G:15498","0.00","0.00"
"Saugus","10/27/2013","0.200000","0.00","0.250000","0.00","0.00","G:15531","0.00","0.00"
"Beverly","11/27/2013","0.650000","0.00","0.550000","247.90","0.00","G:15650","0.00","450.71"
"Peabody","11/27/2013","0.150000","0.00","0.200000","90.14","93.97","G:15848","0.00","450.71"
"Saugus","11/27/2013","0.200000","0.00","0.250000","112.67","0.00","G:15881","0.00","450.71"
"Beverly","12/27/2013","0.650000","0.00","0.550000","0.00","20.85","G:16001","0.00","0.00"
"Peabody","12/27/2013","0.150000","0.00","0.200000","0.00","25.11","G:16199","0.00","0.00"
"Saugus","12/27/2013","0.200000","0.00","0.250000","0.00","0.00","G:16232","0.00","0.00"
