"Abington","","Undoable","G:15971","12/27/2013","32.01"
"Acton","","Undoable","G:15972","12/27/2013","33.86"
"Acushnet","","Undoable","G:15973","12/27/2013","30.84"
"Adams","","Undoable","G:15974","12/27/2013","202.35"
"Agawam","","Undoable","G:15975","12/27/2013","30.41"
"Alford","","Undoable","G:15976","12/27/2013","420.83"
"Amesbury","","Undoable","G:15977","12/27/2013","2097.00"
"Amherst","","Undoable","G:15978","12/27/2013","376.45"
"Andover","","Undoable","G:15979","12/27/2013","1518.52"
"Aquinnah","","Undoable","G:15980","12/27/2013","23.29"
"Arlington","","Undoable","G:15981","12/27/2013","32.28"
"Ashburnham","","Undoable","G:15982","12/27/2013","34.92"
"Ashby","","Undoable","G:15983","12/27/2013","35.74"
"Ashfield","","Undoable","G:15984","12/27/2013","31.13"
"Ashland","","Undoable","G:15985","12/27/2013","27.44"
"Athol","","Undoable","G:15986","12/27/2013","29.26"
"Attleboro","","Undoable","G:15987","12/27/2013","26.32"
"Auburn","","Undoable","G:15988","12/27/2013","14.40"
"Avon","","Undoable","G:15989","12/27/2013","15.50"
"Ayer","","Undoable","G:15990","12/27/2013","17.30"
"Barnstable","","Undoable","G:15991","12/27/2013","35.90"
"Barre","","Undoable","G:15992","12/27/2013","16.46"
"Becket","","Undoable","G:15993","12/27/2013","18.35"
"Bedford","","Undoable","G:15994","12/27/2013","65.01"
"Belchertown","","Undoable","G:15995","12/27/2013","25.33"
"Bellingham","","Undoable","G:15996","12/27/2013","39.45"
"Belmont","","Undoable","G:15997","12/27/2013","49.18"
"Berkley","","Undoable","G:15998","12/27/2013","34.56"
"Berlin","","Undoable","G:15999","12/27/2013","25.59"
"Bernardston","","Undoable","G:16000","12/27/2013","16.03"
"Beverly","","Undoable","G:16001","12/27/2013","20.85"
"Billerica","","Undoable","G:16002","12/27/2013","28.47"
"Blackstone","","Undoable","G:16003","12/27/2013","34.21"
"Blandford","","Undoable","G:16004","12/27/2013","22.32"
"Bolton","","Undoable","G:16005","12/27/2013","41.31"
"Boston","","Undoable","G:16006","12/27/2013","41.44"
"Bourne","","Undoable","G:16007","12/27/2013","45.70"
"Boxborough","","Undoable","G:16008","12/27/2013","35.30"
"Boxford","","Undoable","G:16009","12/27/2013","29.35"
"Boylston","","Undoable","G:16010","12/27/2013","26.05"
"Braintree","","Undoable","G:16011","12/27/2013","18.05"
"Brewster","","Undoable","G:16012","12/27/2013","20.59"
"Bridgewater","","Undoable","G:16013","12/27/2013","23.42"
"Brimfield","","Undoable","G:16014","12/27/2013","27.24"
"Brockton","","Undoable","G:16015","12/27/2013","31.83"
"Brookfield","","Undoable","G:16016","12/27/2013","31.28"
"Brookline","","Undoable","G:16017","12/27/2013","20.68"
"Buckland","","Undoable","G:16018","12/27/2013","25.72"
"Burlington","","Undoable","G:16019","12/27/2013","26.06"
"Cambridge","","Undoable","G:16020","12/27/2013","26.08"
"Canton","","Undoable","G:16021","12/27/2013","24.69"
"Carlisle","","Undoable","G:16022","12/27/2013","17.93"
"Carver","","Undoable","G:16023","12/27/2013","20.23"
"Charlemont","","Undoable","G:16024","12/27/2013","22.72"
"Charlton","","Undoable","G:16025","12/27/2013","32.63"
"Chatham","","Undoable","G:16026","12/27/2013","35.09"
"Chelmsford","","Undoable","G:16027","12/27/2013","35.53"
"Chelsea","","Undoable","G:16028","12/27/2013","31.40"
"Cheshire","","Undoable","G:16029","12/27/2013","86.82"
"Chester","","Undoable","G:16030","12/27/2013","29.75"
"Chesterfield","","Undoable","G:16031","12/27/2013","26.27"
"Chicopee","","Undoable","G:16032","12/27/2013","24.76"
"Chilmark","","Undoable","G:16033","12/27/2013","17.79"
"Clarksburg","","Undoable","G:16034","12/27/2013","19.34"
"Clinton","","Undoable","G:16035","12/27/2013","23.10"
"Cohasset","","Undoable","G:16036","12/27/2013","32.18"
"Colrain","","Undoable","G:16037","12/27/2013","34.72"
"Concord","","Undoable","G:16038","12/27/2013","35.42"
"Conway","","Undoable","G:16039","12/27/2013","23.07"
"Cummington","","Undoable","G:16040","12/27/2013","47.57"
"Dalton","","Undoable","G:16041","12/27/2013","29.02"
"Danvers","","Undoable","G:16042","12/27/2013","26.72"
