"Abington","","Undoable","G:13178","04/27/2013","2337.64"
"Acton","","Undoable","G:13179","04/27/2013","2572.91"
"Acushnet","","Undoable","G:13180","04/27/2013","253.38"
"Adams","","Undoable","G:13181","04/27/2013","179.98"
"Agawam","","Undoable","G:13182","04/27/2013","11.66"
"Alford","","Undoable","G:13183","04/27/2013","388.99"
"Amesbury","","Undoable","G:13184","04/27/2013","2013.81"
"Amherst","","Undoable","G:13185","04/27/2013","357.82"
"Andover","","Undoable","G:13186","04/27/2013","3081.57"
"Aquinnah","","Undoable","G:13187","04/27/2013","1857.89"
"Arlington","","Undoable","G:13188","04/27/2013","2092.73"
"Ashburnham","","Undoable","G:13189","04/27/2013","2337.36"
"Ashby","","Undoable","G:13190","04/27/2013","2571.22"
"Ashfield","","Undoable","G:13191","04/27/2013","250.40"
"Ashland","","Undoable","G:13192","04/27/2013","475.41"
"Athol","","Undoable","G:13193","04/27/2013","7.37"
"Attleboro","","Undoable","G:13194","04/27/2013","923.59"
"Auburn","","Undoable","G:13195","04/27/2013","1152.89"
"Avon","","Undoable","G:13196","04/27/2013","9.43"
"Ayer","","Undoable","G:13197","04/27/2013","1625.70"
"Barnstable","","Undoable","G:13198","04/27/2013","1874.50"
"Barre","","Undoable","G:13199","04/27/2013","2087.68"
"Becket","","Undoable","G:13200","04/27/2013","4.02"
"Bedford","","Undoable","G:13201","04/27/2013","2570.76"
"Belchertown","","Undoable","G:13202","04/27/2013","247.61"
"Bellingham","","Undoable","G:13203","04/27/2013","482.76"
"Belmont","","Undoable","G:13204","04/27/2013","20.87"
"Berkley","","Undoable","G:13205","04/27/2013","932.44"
"Berlin","","Undoable","G:13206","04/27/2013","1153.53"
"Bernardston","","Undoable","G:13207","04/27/2013","8.27"
"Beverly","","Undoable","G:13208","04/27/2013","903.37"
"Billerica","","Undoable","G:13209","04/27/2013","1896.38"
"Blandford","","Undoable","G:13211","04/27/2013","2327.56"
"Bolton","","Undoable","G:13212","04/27/2013","2572.80"
"Boston","","Undoable","G:13213","04/27/2013","256.03"
"Bourne","","Undoable","G:13214","04/27/2013","486.01"
"Boxborough","","Undoable","G:13215","04/27/2013","11.12"
"Boxford","","Undoable","G:13216","04/27/2013","927.66"
"Boylston","","Undoable","G:13217","04/27/2013","1154.18"
"Braintree","","Undoable","G:13218","04/27/2013","10.23"
"Brewster","","Undoable","G:13219","04/27/2013","1625.80"
"Bridgewater","","Undoable","G:13220","04/27/2013","1857.25"
"Brimfield","","Undoable","G:13221","04/27/2013","2092.61"
"Brockton","","Undoable","G:13222","04/27/2013","2338.56"
"Brookfield","","Undoable","G:13223","04/27/2013","2571.66"
"Brookline","","Undoable","G:13224","04/27/2013","250.06"
"Buckland","","Undoable","G:13225","04/27/2013","5.08"
"Burlington","","Undoable","G:13226","04/27/2013","1.31"
"Cambridge","","Undoable","G:13227","04/27/2013","924.83"
"Canton","","Undoable","G:13228","04/27/2013","1153.50"
"Carlisle","","Undoable","G:13229","04/27/2013","9.77"
"Charlemont","","Undoable","G:13231","04/27/2013","1857.19"
"Charlton","","Undoable","G:13232","04/27/2013","2093.24"
"Chatham","","Undoable","G:13233","04/27/2013","2338.57"
"Chelmsford","","Undoable","G:13234","04/27/2013","2571.00"
"Chelsea","","Undoable","G:13235","04/27/2013","250.22"
"Cheshire","","Undoable","G:13236","04/27/2013","474.70"
"Chester","","Undoable","G:13237","04/27/2013","7.48"
"Chesterfield","","Undoable","G:13238","04/27/2013","924.84"
"Chicopee","","Undoable","G:13239","04/27/2013","1152.76"
"Chilmark","","Undoable","G:13240","04/27/2013","9.38"
"Clarksburg","","Undoable","G:13241","04/27/2013","1625.01"
"Clinton","","Undoable","G:13242","04/27/2013","1857.68"
"Cohasset","","Undoable","G:13243","04/27/2013","2092.79"
